시간범위,연령대,생활인구,비중
주간(09-18시),0-19세,8974346.0968,0.17989779900564773
주간(09-18시),20대,6500281.832900001,0.13030324238019728
주간(09-18시),30대,9721006.3625,0.19486518904783676
주간(09-18시),40대,9577097.7577,0.1919804283107035
주간(09-18시),50대,6988795.5535,0.14009588266530243
주간(09-18시),60대,4217772.4349,0.08454855312698013
주간(09-18시),70세 이상,3906502.6220000004,0.07830890584420189
야간(19-08시),0-19세,12079343.4603,0.20022870820308494
야간(19-08시),20대,7609906.987200001,0.12614277014314182
야간(19-08시),30대,10470287.3392,0.17355679266289065
야간(19-08시),40대,10943883.307699999,0.18140717867886944
야간(19-08시),50대,8397575.3038,0.13919925868853825
야간(19-08시),60대,5452571.5756,0.09038250849935951
야간(19-08시),70세 이상,5374162.1315,0.08908278374572004
전체,0-19세,21053689.557099998,0.19102635619774175
전체,20대,14110188.820100002,0.12802591907967184
전체,30대,20191293.7017,0.18320158337536768
전체,40대,20520981.065399997,0.18619293439729875
전체,50대,15386370.857299998,0.1396050963896704
전체,60대,9670344.010499999,0.08774189314867635
전체,70세 이상,9280664.7535,0.08420621792421433
