요일구분,시간대구분,마곡권_4개동_총생활인구,마곡권_행정동당_생활인구,서울_총생활인구,서울_행정동당_생활인구,마곡권_vs_서울평균_배율
주말,0,131952.38026666667,32988.09506666667,9923201.1129,23403.77620966981,1.409520189012783
주말,1,132528.98316666667,33132.24579166667,9910032.588844445,23372.718369916143,1.4175606477298919
주말,2,132697.58483333333,33174.39620833333,9902692.115699999,23355.405933254715,1.420416168451082
주말,3,133050.25910000002,33262.564775000006,9896339.209755555,23340.422664517817,1.42510550271936
주말,4,135275.82896666668,33818.95724166667,9893113.418555556,23332.814666404614,1.4494161002513066
주말,5,135432.30122222222,33858.075305555554,9894026.025788888,23334.967041954926,1.4509587797866046
주말,6,137273.96346666667,34318.49086666667,9888518.841188889,23321.9783990304,1.4715085607014131
주말,7,137927.27191111108,34481.81797777777,9889163.021655556,23323.497692583856,1.4784153917335439
주말,8,138077.3041111111,34519.32602777777,9945659.5414,23456.744201415095,1.4716162537891895
주말,9,139562.43263333332,34890.60815833333,10021521.481277777,23635.66387093815,1.4761848175220493
주말,10,140619.45688888888,35154.86422222222,10085878.711744444,23787.449791850104,1.4778744476537684
주말,11,141721.3288,35430.3322,10139061.019822223,23912.879763731657,1.4816422175022477
주말,12,142559.38675555555,35639.84668888889,10193135.077322222,24040.412918212787,1.482497276986806
주말,13,143309.06352222222,35827.265880555555,10226898.919133333,24120.044620597484,1.4853731178407774
주말,14,141880.06423333334,35470.016058333335,10245745.549922222,24164.494221514677,1.4678567543430259
주말,15,139789.0268888889,34947.25672222223,10254515.4686,24185.17799198113,1.4449865423280899
주말,16,138428.0870888889,34607.02177222222,10252138.331444444,24179.571536425578,1.4312504140153228
주말,17,138834.46814444443,34708.61703611111,10236802.594944444,24143.402346567083,1.437602560645156
주말,18,138748.42784444444,34687.10696111111,10205922.356044445,24070.571594444446,1.4410587145806288
주말,19,136861.75735555554,34215.439338888886,10168399.193877779,23982.07357046646,1.4267089640248896
주말,20,134794.76343333334,33698.690858333335,10128910.769422222,23888.940493920334,1.410639825860404
주말,21,133939.5865,33484.896625,10077195.462333333,23766.970430031444,1.4088836742393211
주말,22,132756.06502222223,33189.01625555556,10019295.013677778,23630.412768107966,1.4045042962748435
주말,23,132892.8207222222,33223.20518055555,9947413.919766666,23460.88188624214,1.4161106705898472
평일,0,133790.0473590909,33447.51183977273,10003885.986363636,23594.070722555745,1.4176236154025414
평일,1,134257.97444999998,33564.493612499995,9996281.388990909,23576.135351393652,1.4236639344079733
평일,2,134649.97946818182,33662.494867045454,9993295.77780909,23569.09381558748,1.4282473110944418
평일,3,135009.00215,33752.2505375,9991283.658563636,23564.34825132933,1.432343902640971
평일,4,137280.1643272727,34320.04108181818,9995178.86761818,23573.535065137217,1.4558716368583138
평일,5,138341.40095454545,34585.35023863636,10019013.488331817,23629.748793235416,1.4636359675790227
평일,6,142651.6491,35662.912275,10080060.952281818,23773.728661042023,1.5000975565705337
평일,7,154815.4922272727,38703.87305681818,10249528.35354091,24173.415928162525,1.6010924220158465
평일,8,166596.71453181817,41649.17863295454,10458237.612372728,24665.654746162094,1.6885494855730532
평일,9,172136.64183181818,43034.160457954546,10601001.535395455,25002.36211178173,1.7212037912880154
평일,10,174215.03166363636,43553.75791590909,10670970.486100001,25167.383221933964,1.7305636240302873
평일,11,173121.36772272727,43280.34193068182,10712318.393163636,25264.901870668953,1.7130619446785866
평일,12,175751.74347272728,43937.93586818182,10750928.436227273,25355.96329298885,1.7328442765308407
평일,13,176177.7949590909,44044.44873977273,10780088.589672728,25424.73723979417,1.7323462706562587
평일,14,174758.9084909091,43689.72712272727,10786608.194354545,25440.11366593053,1.7173558143820982
평일,15,171515.6590409091,42878.91476022727,10771146.763286363,25403.648026618783,1.6879038284303627
평일,16,166419.81782272726,41604.954455681815,10733552.974240908,25314.983429813463,1.6434912774496881
평일,17,158815.9867681818,39703.99669204545,10671774.10125909,25169.2785407054,1.5774785370916993
평일,18,149666.0007772727,37416.50019431818,10543537.240531819,24866.83311446184,1.5046749227008651
평일,19,145195.57283181816,36298.89320795454,10401326.992968183,24531.431587189112,1.4796891522185225
평일,20,140954.22369545454,35238.555923863634,10310632.32316818,24317.529064075898,1.4491010098522423
평일,21,137966.54803636365,34491.63700909091,10229357.1,24125.84221698113,1.4296552509496954
평일,22,135295.5170090909,33823.87925227272,10144724.361081818,23926.236700664664,1.4136731854422016
평일,23,134040.361,33510.09025,10042357.383490909,23684.80514974271,1.414834955919577
