admin_dong_norm,호선명,지하철역,monthly_total_riders
발산1동,5호선,마곡,1008938
발산1동,5호선,발산,1503044
발산1동,5호선,우장산,954901
가양1동,9호선,가양,1361186
가양1동,9호선,양천향교,697073
가양1동,9호선,증미,473516
방화1동,5호선,개화산,375498
방화1동,5호선,김포공항,678654
방화1동,5호선,방화,447706
방화1동,9호선,김포공항,504555
방화1동,경의선,김포공항,1
방화1동,공항철도 1호선,김포공항,440981
방화1동,서해선,김포공항,234430
등촌3동,9호선,등촌,774442
등촌3동,9호선,증미,473516
방화3동,5호선,개화산,375498
방화3동,5호선,방화,447706
공항동,5호선,김포공항,678654
공항동,5호선,송정,390572
공항동,9호선,공항시장,182642
공항동,9호선,김포공항,504555
공항동,경의선,김포공항,1
공항동,공항철도 1호선,김포공항,440981
공항동,서해선,김포공항,234430
우장산동,5호선,발산,1503044
우장산동,5호선,우장산,954901
우장산동,5호선,화곡,1742573
방화2동,5호선,김포공항,678654
방화2동,5호선,방화,447706
방화2동,9호선,개화,133484
방화2동,9호선,김포공항,504555
방화2동,경의선,김포공항,1
방화2동,공항철도 1호선,김포공항,440981
방화2동,서해선,김포공항,234430
