admin_dong,brand,store_count
가양1동,CU,16
가양1동,GS25,22
가양1동,기타/미분류,9
가양1동,세븐일레븐,10
가양1동,이마트24,16
가양2동,CU,1
가양2동,GS25,2
가양2동,기타/미분류,2
가양2동,세븐일레븐,1
가양2동,이마트24,1
가양3동,CU,1
가양3동,GS25,3
가양3동,기타/미분류,1
가양3동,세븐일레븐,4
가양3동,이마트24,1
공항동,CU,10
공항동,GS25,15
공항동,기타/미분류,2
공항동,세븐일레븐,13
공항동,이마트24,2
등촌1동,CU,8
등촌1동,GS25,12
등촌1동,기타/미분류,3
등촌1동,세븐일레븐,3
등촌1동,이마트24,2
등촌2동,CU,1
등촌2동,GS25,3
등촌2동,기타/미분류,2
등촌2동,미니스톱,1
등촌2동,세븐일레븐,5
등촌2동,이마트24,2
등촌3동,CU,9
등촌3동,GS25,9
등촌3동,기타/미분류,2
등촌3동,세븐일레븐,9
발산1동,CU,10
발산1동,GS25,6
발산1동,기타/미분류,2
발산1동,세븐일레븐,12
발산1동,이마트24,5
방화1동,CU,8
방화1동,GS25,9
방화1동,기타/미분류,3
방화1동,세븐일레븐,9
방화1동,이마트24,2
방화2동,CU,8
방화2동,GS25,9
방화2동,기타/미분류,2
방화2동,미니스톱,1
방화2동,세븐일레븐,9
방화2동,이마트24,1
방화3동,CU,4
방화3동,GS25,3
방화3동,기타/미분류,1
방화3동,미니스톱,1
방화3동,세븐일레븐,4
방화3동,이마트24,1
염창동,CU,10
염창동,GS25,7
염창동,기타/미분류,3
염창동,세븐일레븐,5
염창동,이마트24,1
우장산동,CU,6
우장산동,GS25,8
우장산동,미니스톱,1
우장산동,세븐일레븐,5
화곡1동,CU,12
화곡1동,GS25,17
화곡1동,기타/미분류,3
화곡1동,미니스톱,5
화곡1동,세븐일레븐,11
화곡1동,이마트24,2
화곡2동,CU,3
화곡2동,GS25,5
화곡2동,세븐일레븐,3
화곡2동,이마트24,1
화곡3동,CU,4
화곡3동,GS25,5
화곡3동,기타/미분류,1
화곡3동,세븐일레븐,2
화곡3동,이마트24,2
화곡4동,CU,6
화곡4동,GS25,4
화곡4동,기타/미분류,2
화곡4동,세븐일레븐,4
화곡4동,이마트24,1
화곡6동,CU,6
화곡6동,GS25,10
화곡6동,세븐일레븐,9
화곡6동,이마트24,2
화곡8동,CU,7
화곡8동,GS25,4
화곡8동,세븐일레븐,2
화곡8동,이마트24,1
화곡본동,CU,6
화곡본동,GS25,13
화곡본동,세븐일레븐,11
화곡본동,이마트24,1
