candidate_store_id,store_name,brand,admin_dong,road_address,longitude,latitude,recommended_public_facility_program,recommended_program_score,target_existing_facility_count_300m,target_existing_facility_count_500m,nearest_target_existing_facility_name,nearest_target_existing_facility_category,nearest_target_existing_facility_distance_m,all_existing_facility_count_300m,all_existing_facility_count_500m,counts_by_category_500m,supply_gap_adjusted_score,supply_gap_interpretation,source_note,supply_gap_rank
GS_CONV_0398,세븐일레븐S,세븐일레븐,가양1동,서울특별시 강서구 공항대로 267,126.837305567326,37.5590285388509,청년·직장인 생활지원형 공공시설,0.9261413809052635,0,0,등빛도서관,도서관·학습,585.9,13,25,공원·오픈스페이스:5; 기타시설:7; 의료:13,0.9446060356789476,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,1
GS_CONV_0176,지에스25발산파크점,GS25,가양1동,서울특별시 강서구 공항대로 261,126.836513043521,37.5591535835773,청년·직장인 생활지원형 공공시설,0.9201466080247442,0,0,강서점자도서관,도서관·학습,549.3,13,23,공원·오픈스페이스:4; 기타시설:7; 의료:12,0.9401099560185582,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,2
GS_CONV_0241,지에스25마곡,GS25,가양1동,서울특별시 강서구 공항대로 269-15,126.837247704328,37.5596141065745,청년·직장인 생활지원형 공공시설,0.9156280396586498,0,0,등빛도서관,도서관·학습,550.3,14,22,공원·오픈스페이스:4; 기타시설:7; 의료:11,0.9367210297439874,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,3
GS_CONV_0277,GS25마곡루체점,GS25,가양1동,서울특별시 강서구 마곡동로4길 23,126.836206376803,37.5596487063899,청년·직장인 생활지원형 공공시설,0.9105070676073354,0,0,강서점자도서관,도서관·학습,528.3,14,20,공원·오픈스페이스:2; 기타시설:7; 의료:11,0.9328803007055015,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,4
GS_CONV_0391,이마트24마곡골든점,이마트24,가양1동,서울특별시 강서구 마곡중앙6로 89,126.837291761266,37.5601727848312,청년·직장인 생활지원형 공공시설,0.909929014751092,0,0,등빛도서관,도서관·학습,514.2,12,21,공원·오픈스페이스:3; 기타시설:7; 의료:11,0.932446761063319,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,5
GS_CONV_0156,GS25마곡파크뷰점,GS25,가양1동,서울특별시 강서구 마곡중앙6로 85,126.836884155961,37.5602443020844,청년·직장인 생활지원형 공공시설,0.909849201329806,0,0,등빛도서관,도서관·학습,542.2,10,21,공원·오픈스페이스:3; 기타시설:7; 의료:11,0.9323869009973544,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,6
GS_CONV_0256,지에스25S9,GS25,공항동,서울특별시 강서구 방화동로 30,126.810493420523,37.5635475852734,공항권 이동노동자·외국인 생활지원형 공공시설,0.7963369538053557,0,0,멤브로메디컬센터,문화·체육·커뮤니티,1141.6,2,6,공원·오픈스페이스:4; 기타시설:1; 의료:1,0.8472527153540168,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,7
GS_CONV_0131,세븐마곡에스비점,세븐일레븐,가양1동,서울특별시 강서구 강서로 385,126.838299258447,37.5600840693644,청년·직장인 생활지원형 공공시설,0.9081671248862077,0,1,등빛도서관,도서관·학습,444.5,11,26,공원·오픈스페이스:7; 기타시설:7; 도서관·학습:1; 의료:11,0.7922456915335925,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,8
GS_CONV_0199,지에스25S9가양역점,GS25,가양2동,서울특별시 강서구 양천로 485,126.854390628535,37.5615556146655,생활건강·돌봄 상담형 공공시설,0.71131677625087,0,0,부민병원,의료,604.5,11,16,공원·오픈스페이스:6; 기타시설:10,0.7834875821881525,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,9
GS_CONV_0019,이마트24가양역점,이마트24,가양2동,서울특별시 강서구 양천로57길 10-11,126.852938725956,37.5631665976334,생활건강·돌봄 상담형 공공시설,0.6936194000394712,0,0,부민병원,의료,725.0,10,16,공원·오픈스페이스:7; 기타시설:9,0.7702145500296034,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,10
GS_CONV_0347,편의누리,기타/미분류,가양2동,서울특별시 강서구 양천로 461,126.852225893961,37.5630485781322,생활건강·돌봄 상담형 공공시설,0.6917067142397142,0,0,부민병원,의료,699.9,8,16,공원·오픈스페이스:7; 기타시설:9,0.7687800356797856,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,11
GS_CONV_0141,GS25마곡,GS25,가양1동,서울특별시 강서구 마곡중앙로 76,126.827501108791,37.5604111652286,청년·직장인 생활지원형 공공시설,0.9089058616027808,1,1,강서점자도서관,도서관·학습,298.6,10,14,공원·오픈스페이스:1; 기타시설:3; 도서관·학습:1; 복지·돌봄:1; 의료:8,0.7563268808400393,수요점수는 높지만 프로그램 관련 기존 시설이 500m 내 적어 공급 보완 논리가 강함,시설 공급 검증은 서울시 시설물 정보 2023년 자료 기반이므로 최신 현장 확인 필요,12
