admin_dong,store_count,avg_context_score,max_context_score,avg_other_convenience_500m,avg_medical_500m,avg_subway_distance_m,avg_magok_distance_m,avg_airport_distance_m
가양1동,73,0.5764544900192285,0.7000653730676597,24.383561643835616,56.21917808219178,363.36164383561646,610.8945205479453,2859.217808219178
우장산동,20,0.5403816342378767,0.6418423144848779,23.7,91.55,346.40500000000003,923.15,3443.1349999999998
발산1동,35,0.5198665572606804,0.6396497904580538,19.285714285714285,67.94285714285714,462.48285714285714,636.0028571428571,2440.52
공항동,42,0.5194071494256943,0.6366347751905531,14.571428571428571,20.428571428571427,477.32142857142856,1223.2714285714287,975.4666666666666
등촌3동,29,0.4840759831153325,0.6071764668551084,24.724137931034484,70.55172413793103,435.35862068965514,752.4655172413793,3577.662068965517
방화2동,30,0.41708605831163487,0.5109522194917211,13.233333333333333,25.0,262.0233333333333,1897.8100000000002,865.9866666666666
방화1동,31,0.46029632860478803,0.49618215784665903,17.0,50.193548387096776,275.4935483870967,859.9387096774193,1561.0838709677419
화곡3동,14,0.3669101608739823,0.4293140285366496,17.785714285714285,78.85714285714286,392.4214285714285,1603.8785714285714,3339.2714285714287
화곡1동,50,0.32183358021544656,0.42541973584393245,26.62,56.7,435.82,2927.9320000000002,4645.142
화곡본동,31,0.31687775389614115,0.41664852826175863,24.322580645161292,43.193548387096776,613.6967741935483,1876.7612903225806,4242.509677419354
방화3동,14,0.3400580868040331,0.40231685478867124,12.928571428571429,36.857142857142854,274.00714285714287,1746.5,2019.607142857143
화곡8동,14,0.32488150379248026,0.3843883532724452,23.642857142857142,64.0,358.67857142857144,2896.671428571429,4973.900000000001
가양2동,7,0.35361666999264535,0.3838001001409902,16.142857142857142,69.71428571428571,328.3142857142857,1418.4428571428573,4255.814285714286
가양3동,10,0.34306792370685496,0.3833833893787672,19.0,46.2,310.23,1960.6,4905.219999999999
등촌1동,28,0.35065781016120595,0.37322680938471153,24.285714285714285,42.964285714285715,301.57142857142856,2006.439285714286,4978.432142857143
염창동,26,0.2748948974809703,0.33354286887142703,14.307692307692308,34.96153846153846,408.4653846153846,3096.273076923077,6057.3115384615385
화곡6동,27,0.27457018031839575,0.32470246563792404,22.51851851851852,30.925925925925927,968.2481481481482,1387.174074074074,4260.922222222222
화곡2동,12,0.2630914797738265,0.3217009422476014,19.416666666666668,35.166666666666664,611.9583333333334,3325.2166666666667,5517.358333333334
등촌2동,14,0.250574143155471,0.3163017587604022,10.5,20.714285714285715,609.6357142857142,2563.2999999999997,5393.671428571428
화곡4동,17,0.2053597516660195,0.24397426118665355,12.647058823529411,34.705882352941174,912.8411764705882,3324.6294117647058,5751.941176470588
