category,file_count,total_mb,examples
생활이동/유동인구,12,281.25,raw data\01_living_movement\daily_zip\seoul_purpose_admdong3_20260330.zip | raw data\01_living_movement\daily_zip\seoul_purpose_admdong3_20260331.zip | raw data\01_living_movement\daily_zip\seoul_purpose_admdong3_20260328.zip | raw data\01_living_movement\daily_zip\seoul_purpose_admdong3_20260329.zip | processed\initial_temporal_analysis_20260522\candidate_living_movement_avg_daily_direction.csv
행정코드/경계,3,7.04,raw data\03_admin_code\jscode20260325.zip | raw data\03_admin_code\jscode20260325_with_deleted.zip | docs\source_page_notes_admin_code.md
상가/상권,12,1215.83,raw data\12_commercial_convenience\source_zip\small_business_store_info_20260331.zip | raw data\12_commercial_convenience\source_zip\README_file_opening_original.txt | raw data\12_commercial_convenience\extracted_csv\small_business_store_info_seoul_202603.csv | raw data\03_store_commercial\store_locations\sbiz_store_business_area_20260331.zip | raw data\03_store_commercial\store_locations\sbiz_store_business_area_seoul_202603.csv
편의점 후보/좌표,22,605.05,raw data\12_commercial_convenience\source_zip\small_business_store_info_20260331.zip | raw data\12_commercial_convenience\source_zip\README_file_opening_original.txt | raw data\12_commercial_convenience\extracted_csv\small_business_store_info_seoul_202603.csv | processed\initial_temporal_analysis_20260522\candidate_admin_store_counts_by_year.csv | processed\initial_temporal_analysis_20260522\candidate_change_summary_2019_2025.csv
인구/세대/연령,25,13.57,raw data\07_residential_context\gangseo_one_person_households_20250731.xlsx | raw data\04_demographics\population_age_dong_yearly\population_age_10yr_seoul_dong_202604.csv | raw data\04_demographics\population_household_monthly\population_household_seoul_dong_202604.csv | raw data\04_demographics\mois_population_household_dong_yearend\mois_population_household_seoul_dong_201912.csv | raw data\04_demographics\mois_population_household_dong_yearend\mois_population_household_seoul_dong_202012.csv
교통/지하철,2,28.54,raw data\07_transport_timetable\subway_hourly\seoul_subway_station_hourly_20260506.csv | outputs\expanded_multi_indicator_analysis_20260522\subway_station_mapping_used.csv
병원/의료,7,10.42,raw data\05_airport_hospital\kac_transport_performance_20250915.csv | raw data\05_airport_hospital\airport_transport_yearly\kac_airport_transport_statistics_20250915.csv | raw data\05_airport_hospital\hospital_info\seoul_emergency_room_locations_20260508.csv | raw data\05_airport_hospital\hospital_info\seoul_hospital_clinic_locations_20260508.csv | outputs\gangseo_commute_hospital_hourly_20260331.csv
공항,7,10.42,raw data\05_airport_hospital\kac_transport_performance_20250915.csv | raw data\05_airport_hospital\airport_transport_yearly\kac_airport_transport_statistics_20250915.csv | raw data\05_airport_hospital\hospital_info\seoul_emergency_room_locations_20260508.csv | raw data\05_airport_hospital\hospital_info\seoul_hospital_clinic_locations_20260508.csv | outputs\expanded_multi_indicator_analysis_20260522\airport_statistics_reference_summary.csv
사업체/마곡,12,1209.66,raw data\06_magok_business\gangseo_business_report_2023_based_20250731.xlsx | raw data\06_magok_business\magok_tenant_companies_20260213.xlsx | raw data\12_commercial_convenience\source_zip\small_business_store_info_20260331.zip | raw data\12_commercial_convenience\extracted_csv\small_business_store_info_seoul_202603.csv | raw data\03_store_commercial\store_locations\sbiz_store_business_area_20260331.zip
주거/1인가구,3,0.06,raw data\07_residential_context\gangseo_one_person_households_20250731.xlsx | raw data\06_business_residential\business\magok_tenant_companies_20260213.xlsx | raw data\06_business_residential\residential\seoul_registered_population_age_dong_2026q1.xlsx
기존 분석 산출물,43,0.98,processed\initial_temporal_analysis_20260522\admin_store_counts_by_dong_year.csv | processed\initial_temporal_analysis_20260522\candidate_admin_store_counts_by_year.csv | processed\initial_temporal_analysis_20260522\candidate_change_summary_2019_2025.csv | processed\initial_temporal_analysis_20260522\candidate_demographics_by_period.csv | processed\initial_temporal_analysis_20260522\candidate_living_movement_avg_daily_direction.csv
